train_number,journey_date,current_station,next_station,station_sequence,current_departure_delay,previous_departure_delay,delay_change,next_station_sequence,scheduled_travel_time,route_progress,stations_remaining,historical_station_delay,historical_train_delay,scheduled_departure_hour,target_arrival_delay,day_of_week
12919,2026-08-20,SHRN,BPL,42,10.0,12.0,-2.0,43,27,0.1794871794871795,192,1.0,151.25,16.916666666666668,15.0,3
12919,2026-08-20,NSZ,BHS,44,35.0,35.0,0.0,50,23,0.18803418803418803,190,53.0,151.25,17.733333333333334,52.0,3
12919,2026-08-20,BHS,BAQ,50,58.0,35.0,23.0,55,26,0.21367521367521367,184,91.0,151.25,18.116666666666667,62.0,3
12919,2026-08-20,BAQ,BINA,55,66.0,58.0,8.0,61,59,0.23504273504273504,179,119.0,151.25,18.55,42.0,3
12919,2026-08-20,BINA,LAR,61,48.0,66.0,-18.0,68,44,0.2606837606837607,173,118.0,151.25,19.583333333333332,49.0,3
12919,2026-08-20,LAR,BAB,68,54.0,48.0,6.0,77,40,0.2905982905982906,166,154.0,151.25,20.266666666666666,49.0,3
12919,2026-08-20,BAB,VGLJ,77,53.0,54.0,-1.0,80,36,0.32905982905982906,157,160.0,151.25,20.933333333333334,39.0,3
12919,2026-08-20,VGLJ,DAA,80,46.0,53.0,-7.0,82,29,0.3418803418803419,154,165.0,151.25,21.633333333333333,40.0,3
12919,2026-08-20,DAA,DBA,82,46.0,46.0,0.0,85,23,0.3504273504273504,152,165.0,151.25,22.016666666666666,46.0,3
12919,2026-08-20,DBA,GWL,85,50.0,46.0,4.0,91,32,0.36324786324786323,149,175.0,151.25,22.4,51.0,3
12919,2026-08-20,GWL,MRA,91,58.0,50.0,8.0,97,31,0.3888888888888889,143,195.0,151.25,22.933333333333334,58.0,3
12919,2026-08-20,MRA,DHO,97,62.0,58.0,4.0,101,43,0.41452991452991456,137,192.0,151.25,23.45,42.0,3
12919,2026-08-20,DHO,AGC,101,41.0,62.0,-21.0,105,32,0.43162393162393164,133,179.0,151.25,0.16666666666666666,51.0,3
12919,2026-08-20,AGC,MTJ,105,58.0,41.0,17.0,113,43,0.44871794871794873,129,187.0,151.25,0.75,53.0,3
12919,2026-08-20,MTJ,KSV,113,58.0,58.0,0.0,118,29,0.4829059829059829,121,191.0,151.25,1.4166666666666667,62.0,3
12919,2026-08-20,KSV,PWL,118,67.0,58.0,9.0,123,66,0.5042735042735043,116,199.0,151.25,1.9,26.0,3
12919,2026-08-20,PWL,BVH,123,30.0,67.0,-37.0,125,18,0.5256410256410257,111,162.0,151.25,3.0,29.0,3
12919,2026-08-20,BVH,FDB,125,35.0,30.0,5.0,127,11,0.5341880341880342,109,164.0,151.25,3.3,32.0,3
12919,2026-08-20,FDB,NZM,127,36.0,35.0,1.0,131,21,0.5427350427350427,107,172.0,151.25,3.4833333333333334,42.0,3
12919,2026-08-20,NZM,NDLS,131,48.0,36.0,12.0,135,27,0.5598290598290598,103,189.0,151.25,3.8333333333333335,35.0,3
12919,2026-08-20,NDLS,SNP,135,53.0,48.0,5.0,146,55,0.5769230769230769,99,188.0,151.25,4.5,49.0,3
12919,2026-08-20,SNP,PNP,146,52.0,53.0,-1.0,152,30,0.6239316239316239,88,204.0,151.25,5.2,112.0,3
12919,2026-08-20,PNP,KUN,152,115.0,52.0,63.0,157,24,0.6495726495726496,82,247.0,151.25,5.7,115.0,3
12919,2026-08-20,KUN,KKDE,157,118.0,115.0,3.0,162,26,0.6709401709401709,77,252.0,151.25,6.1,117.0,3
12919,2026-08-20,KKDE,UMB,162,132.0,118.0,14.0,168,60,0.6923076923076923,72,251.0,151.25,6.533333333333333,146.0,3
12919,2026-08-20,UMB,SIR,168,154.0,132.0,22.0,174,38,0.717948717948718,66,226.0,151.25,7.583333333333333,160.0,3
12919,2026-08-20,SIR,KNN,174,164.0,154.0,10.0,176,17,0.7435897435897436,60,248.0,151.25,8.166666666666666,160.0,3
12919,2026-08-20,KNN,LDH,176,163.0,164.0,-1.0,183,75,0.7521367521367521,58,247.0,151.25,8.45,122.0,3
12919,2026-08-20,LDH,JRC,183,133.0,163.0,-30.0,190,53,0.782051282051282,51,207.0,151.25,9.833333333333334,134.0,3
12919,2026-08-20,JRC,DZA,190,140.0,133.0,7.0,203,68,0.811965811965812,44,221.0,151.25,10.6,115.0,3
12919,2026-08-20,DZA,MEX,203,118.0,140.0,-22.0,206,17,0.8675213675213675,31,212.0,151.25,11.716666666666667,115.0,3
12919,2026-08-20,MEX,PTKC,206,120.0,118.0,2.0,213,29,0.8803418803418803,28,212.0,151.25,12.0,124.0,3
12919,2026-08-20,PTKC,MSKT,213,128.0,120.0,8.0,217,41,0.9102564102564102,21,218.0,151.25,12.5,117.0,3
12919,2026-08-20,MSKT,JAT,217,121.0,128.0,-7.0,227,82,0.9273504273504274,17,221.0,151.25,13.166666666666666,100.0,3
12919,2026-08-20,JAT,RMJK,227,112.0,121.0,-9.0,231,49,0.9700854700854701,7,252.0,151.25,14.583333333333334,124.0,3
12919,2026-08-20,CRWL,SVDK,233,144.0,144.0,0.0,234,32,0.9957264957264957,1,251.0,151.25,16.0,130.0,3
12920,2026-08-20,CRWL,MCTM,2,10.0,8.0,2.0,3,19,0.00851063829787234,233,7.9,29.576842105263157,8.85,0.0,3
12920,2026-08-20,MCTM,RMJK,3,8.0,10.0,-2.0,4,16,0.01276595744680851,232,0.9,29.576842105263157,9.166666666666666,10.0,3
12920,2026-08-20,RMJK,JAT,4,10.0,8.0,2.0,8,56,0.01702127659574468,231,6.8,29.576842105263157,9.433333333333334,4.0,3
12920,2026-08-20,JAT,MSKT,8,6.0,10.0,-4.0,18,75,0.03404255319148936,227,11.2,29.576842105263157,10.5,1.0,3
12920,2026-08-20,MSKT,PTKC,18,6.0,6.0,0.0,22,40,0.07659574468085106,217,8.6,29.576842105263157,11.616666666666667,1.0,3
12920,2026-08-20,PTKC,MEX,22,4.0,6.0,-2.0,29,36,0.09361702127659574,213,5.3,29.576842105263157,12.3,3.0,3
12920,2026-08-20,MEX,DZA,29,6.0,4.0,2.0,32,17,0.12340425531914893,206,9.5,29.576842105263157,12.883333333333333,1.0,3
12920,2026-08-20,DZA,JRC,32,8.0,6.0,2.0,45,67,0.13617021276595745,203,11.6,29.576842105263157,13.166666666666666,0.0,3
12920,2026-08-20,JRC,LDH,45,8.0,8.0,0.0,52,50,0.19148936170212766,190,2.5,29.576842105263157,14.3,5.0,3
12920,2026-08-20,LDH,KNN,52,7.0,8.0,-1.0,59,53,0.22127659574468084,183,-0.7,29.576842105263157,15.25,0.0,3
12920,2026-08-20,KNN,SIR,59,1.0,7.0,-6.0,61,16,0.251063829787234,176,-5.5,29.576842105263157,16.0,0.0,3
12920,2026-08-20,SIR,UMB,61,3.0,1.0,2.0,67,46,0.25957446808510637,174,0.1,29.576842105263157,16.266666666666666,0.0,3
12920,2026-08-20,UMB,KKDE,67,1.0,3.0,-2.0,73,35,0.2851063829787234,168,0.5,29.576842105263157,17.083333333333332,3.0,3
12920,2026-08-20,KKDE,KUN,73,8.0,1.0,7.0,78,25,0.31063829787234043,162,12.666666666666666,29.576842105263157,17.616666666666667,1.0,3
12920,2026-08-20,KUN,PNP,78,7.0,8.0,-1.0,83,24,0.33191489361702126,157,14.1,29.576842105263157,18.033333333333335,5.0,3
12920,2026-08-20,PNP,SNP,83,12.0,7.0,5.0,90,30,0.35319148936170214,152,23.9,29.576842105263157,18.433333333333334,11.0,3
12920,2026-08-20,SNP,SZM,90,18.0,12.0,6.0,99,42,0.3829787234042553,145,27.7,29.576842105263157,18.933333333333334,3.0,3
12920,2026-08-20,FDB,BVH,109,16.0,16.0,0.0,111,11,0.46382978723404256,126,13.7,29.576842105263157,21.05,15.0,3
12920,2026-08-20,BVH,PWL,111,14.0,16.0,-2.0,113,28,0.4723404255319149,124,13.4,29.576842105263157,21.233333333333334,1.0,3
12920,2026-08-20,PWL,KSV,113,6.0,14.0,-8.0,118,28,0.4808510638297872,122,7.5,29.576842105263157,21.7,0.0,3
12920,2026-08-20,KSV,MTJ,118,5.0,6.0,-1.0,123,30,0.502127659574468,117,11.3,29.576842105263157,22.166666666666668,3.0,3
12920,2026-08-20,MTJ,AGC,123,7.0,5.0,2.0,131,37,0.5234042553191489,112,20.3,29.576842105263157,22.666666666666668,19.0,3
12920,2026-08-20,AGC,DHO,131,28.0,7.0,21.0,135,58,0.5574468085106383,104,30.7,29.576842105263157,23.333333333333332,9.0,3
12920,2026-08-20,DHO,MRA,135,13.0,28.0,-15.0,139,37,0.574468085106383,100,21.8,29.576842105263157,0.25,1.0,3
12920,2026-08-20,MRA,GWL,139,7.0,13.0,-6.0,145,30,0.5914893617021276,96,14.8,29.576842105263157,0.8666666666666667,14.0,3
12920,2026-08-20,GWL,DBA,145,17.0,7.0,10.0,151,42,0.6170212765957447,90,24.6,29.576842105263157,1.3666666666666667,9.0,3
12920,2026-08-20,DBA,DAA,151,10.0,17.0,-7.0,154,26,0.6425531914893617,84,21.7,29.576842105263157,2.066666666666667,8.0,3
12920,2026-08-20,DAA,VGLJ,154,12.0,10.0,2.0,156,37,0.6553191489361702,81,27.5,29.576842105263157,2.5,9.0,3
12920,2026-08-20,VGLJ,BAB,156,12.0,12.0,0.0,159,32,0.6638297872340425,79,22.0,29.576842105263157,3.216666666666667,21.0,3
12920,2026-08-20,BAB,LAR,159,27.0,12.0,15.0,168,44,0.676595744680851,76,26.4,29.576842105263157,3.65,28.0,3
12920,2026-08-20,LAR,BINA,168,30.0,27.0,3.0,175,69,0.7148936170212766,67,42.1,29.576842105263157,4.383333333333334,2.0,3
12920,2026-08-20,BINA,BAQ,175,7.0,30.0,-23.0,181,36,0.7446808510638298,60,28.6,29.576842105263157,5.583333333333333,3.0,3
12920,2026-08-20,BAQ,BHS,181,9.0,7.0,2.0,186,27,0.7702127659574468,54,36.7,29.576842105263157,6.133333333333334,10.0,3
12920,2026-08-20,BHS,NSZ,186,13.0,9.0,4.0,192,57,0.7914893617021277,49,47.3,29.576842105263157,6.583333333333333,0.0,3
12920,2026-08-20,SEH,KPP,198,44.0,44.0,0.0,202,27,0.8425531914893617,37,82.7,29.576842105263157,8.65,39.0,3
12920,2026-08-20,KPP,SJP,202,40.0,44.0,-4.0,204,13,0.8595744680851064,33,85.2,29.576842105263157,9.1,37.0,3
12920,2026-08-20,SJP,AKD,204,43.0,40.0,3.0,206,15,0.8680851063829788,31,86.3,29.576842105263157,9.333333333333334,40.0,3
12920,2026-08-20,AKD,BCH,206,41.0,43.0,-2.0,210,27,0.8765957446808511,29,84.7,29.576842105263157,9.566666666666666,38.0,3
12920,2026-08-20,BCH,MKC,210,43.0,41.0,2.0,212,29,0.8936170212765957,25,83.5,29.576842105263157,10.033333333333333,28.0,3
12920,2026-08-20,MKC,UJN,212,39.0,43.0,-4.0,217,51,0.902127659574468,23,74.7,29.576842105263157,10.5,41.0,3
12920,2026-08-20,DWX,INDB,223,24.0,24.0,0.0,229,65,0.948936170212766,12,74.8,29.576842105263157,12.533333333333333,3.0,3
12920,2026-08-20,INDB,DADN,229,15.0,24.0,-9.0,235,50,0.9744680851063829,6,53.1,29.576842105263157,13.75,4.0,3
12951,2026-08-20,BVI,ST,18,15.0,15.0,0.0,59,143,0.08411214953271028,196,12.9,9.044117647058824,17.366666666666667,7.0,3
12951,2026-08-20,ST,BRC,59,11.0,15.0,-4.0,83,83,0.2757009345794392,155,10.1,9.044117647058824,19.8,12.0,3
12951,2026-08-20,BRC,RTM,83,14.0,11.0,3.0,119,199,0.3878504672897196,131,15.1,9.044117647058824,21.266666666666666,7.0,3
12951,2026-08-20,RTM,NAD,119,11.0,14.0,-3.0,124,43,0.5560747663551402,95,6.4,9.044117647058824,0.4666666666666667,2.0,3
12951,2026-08-20,NAD,KOTA,124,8.0,11.0,-3.0,151,127,0.5794392523364486,90,4.9,9.044117647058824,1.1666666666666667,6.0,3
12952,2026-08-20,KOTA,NAD,64,24.0,24.0,0.0,91,147,0.29906542056074764,150,7.4,4.866666666666666,21.666666666666668,13.0,3
12952,2026-08-20,NAD,RTM,91,17.0,24.0,-7.0,96,33,0.4252336448598131,123,3.2,4.866666666666666,23.983333333333334,9.0,3
12952,2026-08-20,BRC,ST,132,2.0,2.0,0.0,156,93,0.616822429906542,82,-6.2,4.866666666666666,3.8333333333333335,2.0,3
12952,2026-08-20,ST,BVI,156,7.0,2.0,5.0,197,145,0.7289719626168224,58,4.0,4.866666666666666,5.3,22.0,3
12919,2026-08-21,INDB,DWX,7,10.0,6.0,4.0,13,46,0.029914529914529916,227,5.0,107.08333333333333,12.25,6.0,4
12919,2026-08-21,DWX,UJN,13,10.0,10.0,0.0,19,54,0.05555555555555555,221,3.5,107.08333333333333,12.883333333333333,25.0,4
12919,2026-08-21,MKC,BCH,24,15.0,15.0,0.0,26,16,0.10256410256410256,210,8.0,107.08333333333333,14.6,13.0,4
12919,2026-08-21,BCH,AKD,26,17.0,15.0,2.0,30,28,0.1111111111111111,208,12.0,107.08333333333333,14.883333333333333,8.0,4
12919,2026-08-21,AKD,SJP,30,13.0,17.0,-4.0,32,13,0.1282051282051282,204,6.0,107.08333333333333,15.333333333333334,10.0,4
12919,2026-08-21,SJP,KPP,32,13.0,13.0,0.0,34,15,0.13675213675213677,202,7.0,107.08333333333333,15.566666666666666,7.0,4
12919,2026-08-21,KPP,SEH,34,11.0,13.0,-2.0,38,23,0.1452991452991453,200,5.0,107.08333333333333,15.8,11.0,4
12919,2026-08-21,SEH,SHRN,38,14.0,11.0,3.0,42,43,0.1623931623931624,196,7.5,107.08333333333333,16.183333333333334,-3.0,4
12919,2026-08-21,SHRN,BPL,42,3.0,14.0,-11.0,43,27,0.1794871794871795,192,1.5,107.08333333333333,16.916666666666668,12.0,4
12919,2026-08-21,NSZ,BHS,44,31.0,31.0,0.0,50,23,0.18803418803418803,190,41.0,107.08333333333333,17.733333333333334,53.0,4
12919,2026-08-21,BHS,BAQ,50,57.0,31.0,26.0,55,26,0.21367521367521367,184,71.5,107.08333333333333,18.116666666666667,56.0,4
12919,2026-08-21,BAQ,BINA,55,60.0,57.0,3.0,61,59,0.23504273504273504,179,90.5,107.08333333333333,18.55,38.0,4
12919,2026-08-21,BINA,LAR,61,44.0,60.0,-16.0,68,44,0.2606837606837607,173,80.0,107.08333333333333,19.583333333333332,47.0,4
12919,2026-08-21,LAR,BAB,68,53.0,44.0,9.0,77,40,0.2905982905982906,166,101.5,107.08333333333333,20.266666666666666,50.0,4
12919,2026-08-21,BAB,VGLJ,77,54.0,53.0,1.0,80,36,0.32905982905982906,157,104.5,107.08333333333333,20.933333333333334,40.0,4
12919,2026-08-21,VGLJ,DAA,80,46.0,54.0,-8.0,82,29,0.3418803418803419,154,102.0,107.08333333333333,21.633333333333333,39.0,4
12919,2026-08-21,DAA,DBA,82,45.0,46.0,-1.0,85,23,0.3504273504273504,152,102.5,107.08333333333333,22.016666666666666,43.0,4
12919,2026-08-21,DBA,GWL,85,48.0,45.0,3.0,91,32,0.36324786324786323,149,110.5,107.08333333333333,22.4,51.0,4
12919,2026-08-21,GWL,MRA,91,60.0,48.0,12.0,97,31,0.3888888888888889,143,123.0,107.08333333333333,22.933333333333334,53.0,4
12919,2026-08-21,MRA,DHO,97,55.0,60.0,-5.0,101,43,0.41452991452991456,137,125.0,107.08333333333333,23.45,35.0,4
12919,2026-08-21,DHO,AGC,101,39.0,55.0,-16.0,105,32,0.43162393162393164,133,110.5,107.08333333333333,0.16666666666666666,43.0,4
12919,2026-08-21,AGC,MTJ,105,50.0,39.0,11.0,113,43,0.44871794871794873,129,119.0,107.08333333333333,0.75,45.0,4
12919,2026-08-21,MTJ,KSV,113,50.0,50.0,0.0,118,29,0.4829059829059829,121,122.0,107.08333333333333,1.4166666666666667,54.0,4
12919,2026-08-21,KSV,PWL,118,60.0,50.0,10.0,123,66,0.5042735042735043,116,130.5,107.08333333333333,1.9,18.0,4
12919,2026-08-21,PWL,BVH,123,22.0,60.0,-38.0,125,18,0.5256410256410257,111,94.0,107.08333333333333,3.0,25.0,4
12919,2026-08-21,BVH,FDB,125,32.0,22.0,10.0,127,11,0.5341880341880342,109,96.5,107.08333333333333,3.3,30.0,4
12919,2026-08-21,FDB,NZM,127,33.0,32.0,1.0,131,21,0.5427350427350427,107,102.0,107.08333333333333,3.4833333333333334,37.0,4
12919,2026-08-21,NZM,NDLS,131,43.0,33.0,10.0,135,27,0.5598290598290598,103,115.5,107.08333333333333,3.8333333333333335,31.0,4
12919,2026-08-21,NDLS,SNP,135,43.0,43.0,0.0,146,55,0.5769230769230769,99,111.5,107.08333333333333,4.5,42.0,4
12919,2026-08-21,SNP,PNP,146,46.0,43.0,3.0,152,30,0.6239316239316239,88,126.5,107.08333333333333,5.2,51.0,4
12919,2026-08-21,PNP,KUN,152,54.0,46.0,8.0,157,24,0.6495726495726496,82,179.5,107.08333333333333,5.7,52.0,4
12919,2026-08-21,KUN,KKDE,157,54.0,54.0,0.0,162,26,0.6709401709401709,77,183.5,107.08333333333333,6.1,48.0,4
12919,2026-08-21,KKDE,UMB,162,81.0,54.0,27.0,168,60,0.6923076923076923,72,184.0,107.08333333333333,6.533333333333333,93.0,4
12919,2026-08-21,UMB,SIR,168,107.0,81.0,26.0,174,38,0.717948717948718,66,186.0,107.08333333333333,7.583333333333333,107.0,4
12919,2026-08-21,SIR,KNN,174,111.0,107.0,4.0,176,17,0.7435897435897436,60,204.0,107.08333333333333,8.166666666666666,106.0,4
12919,2026-08-21,KNN,LDH,176,110.0,111.0,-1.0,183,75,0.7521367521367521,58,203.5,107.08333333333333,8.45,63.0,4
12919,2026-08-21,LDH,JRC,183,87.0,110.0,-23.0,190,53,0.782051282051282,51,164.5,107.08333333333333,9.833333333333334,83.0,4
12919,2026-08-21,JRC,DZA,190,89.0,87.0,2.0,203,68,0.811965811965812,44,177.5,107.08333333333333,10.6,62.0,4
12919,2026-08-21,DZA,MEX,203,66.0,89.0,-23.0,206,17,0.8675213675213675,31,163.5,107.08333333333333,11.716666666666667,63.0,4
12919,2026-08-21,MEX,PTKC,206,68.0,66.0,2.0,213,29,0.8803418803418803,28,163.5,107.08333333333333,12.0,73.0,4
12919,2026-08-21,PTKC,MSKT,213,75.0,68.0,7.0,217,41,0.9102564102564102,21,171.0,107.08333333333333,12.5,70.0,4
12919,2026-08-21,MSKT,JAT,217,75.0,75.0,0.0,227,82,0.9273504273504274,17,169.0,107.08333333333333,13.166666666666666,62.0,4
12919,2026-08-21,JAT,RMJK,227,69.0,75.0,-6.0,231,49,0.9700854700854701,7,176.0,107.08333333333333,14.583333333333334,90.0,4
12919,2026-08-21,CRWL,SVDK,233,117.0,117.0,0.0,234,32,0.9957264957264957,1,194.5,107.08333333333333,16.0,102.0,4
12920,2026-08-21,CRWL,MCTM,2,10.0,6.0,4.0,3,19,0.00851063829787234,233,7.7272727272727275,27.848948374760994,8.85,0.0,4
12920,2026-08-21,MCTM,RMJK,3,10.0,10.0,0.0,4,16,0.01276595744680851,232,0.8181818181818182,27.848948374760994,9.166666666666666,5.0,4
12920,2026-08-21,RMJK,JAT,4,8.0,10.0,-2.0,8,56,0.01702127659574468,231,7.090909090909091,27.848948374760994,9.433333333333334,1.0,4
12920,2026-08-21,JAT,MSKT,8,4.0,8.0,-4.0,18,75,0.03404255319148936,227,10.545454545454545,27.848948374760994,10.5,-4.0,4
12920,2026-08-21,MSKT,PTKC,18,4.0,4.0,0.0,22,40,0.07659574468085106,217,7.909090909090909,27.848948374760994,11.616666666666667,-3.0,4
12920,2026-08-21,PTKC,MEX,22,4.0,4.0,0.0,29,36,0.09361702127659574,213,4.909090909090909,27.848948374760994,12.3,3.0,4
12920,2026-08-21,MEX,DZA,29,8.0,4.0,4.0,32,17,0.12340425531914893,206,8.909090909090908,27.848948374760994,12.883333333333333,4.0,4
12920,2026-08-21,DZA,JRC,32,8.0,8.0,0.0,45,67,0.13617021276595745,203,10.636363636363637,27.848948374760994,13.166666666666666,1.0,4
12920,2026-08-21,JRC,LDH,45,9.0,8.0,1.0,52,50,0.19148936170212766,190,2.272727272727273,27.848948374760994,14.3,-2.0,4
12920,2026-08-21,LDH,KNN,52,6.0,9.0,-3.0,59,53,0.22127659574468084,183,-0.18181818181818182,27.848948374760994,15.25,-11.0,4
12920,2026-08-21,KNN,SIR,59,3.0,6.0,-3.0,61,16,0.251063829787234,176,-5.0,27.848948374760994,16.0,1.0,4
12920,2026-08-21,SIR,UMB,61,4.0,3.0,1.0,67,46,0.25957446808510637,174,0.09090909090909091,27.848948374760994,16.266666666666666,-2.0,4
12920,2026-08-21,UMB,KKDE,67,4.0,4.0,0.0,73,35,0.2851063829787234,168,0.45454545454545453,27.848948374760994,17.083333333333332,6.0,4
12920,2026-08-21,KKDE,KUN,73,10.0,4.0,6.0,78,25,0.31063829787234043,162,11.7,27.848948374760994,17.616666666666667,7.0,4
12920,2026-08-21,KUN,PNP,78,11.0,10.0,1.0,83,24,0.33191489361702126,157,12.909090909090908,27.848948374760994,18.033333333333335,14.0,4
12920,2026-08-21,PNP,SNP,83,19.0,11.0,8.0,90,30,0.35319148936170214,152,22.181818181818183,27.848948374760994,18.433333333333334,17.0,4
12920,2026-08-21,SNP,SZM,90,21.0,19.0,2.0,99,42,0.3829787234042553,145,26.181818181818183,27.848948374760994,18.933333333333334,11.0,4
12920,2026-08-21,FDB,BVH,109,16.0,16.0,0.0,111,11,0.46382978723404256,126,13.545454545454545,27.848948374760994,21.05,11.0,4
12920,2026-08-21,BVH,PWL,111,15.0,16.0,-1.0,113,28,0.4723404255319149,124,13.545454545454545,27.848948374760994,21.233333333333334,0.0,4
12920,2026-08-21,PWL,KSV,113,5.0,15.0,-10.0,118,28,0.4808510638297872,122,6.909090909090909,27.848948374760994,21.7,1.0,4
