train_number,journey_date,current_station,next_station,station_sequence,current_departure_delay,previous_departure_delay,next_station_sequence,scheduled_travel_time,target_arrival_delay,day_of_week
12919,2026-08-20,MTJ,KSV,113,58.0,58.0,118,29.0,62.0,3
12919,2026-08-20,KSV,PWL,118,67.0,58.0,123,66.0,26.0,3
12919,2026-08-20,PWL,BVH,123,30.0,67.0,125,18.0,29.0,3
12919,2026-08-20,BVH,FDB,125,35.0,30.0,127,11.0,32.0,3
12919,2026-08-20,FDB,NZM,127,36.0,35.0,131,21.0,42.0,3
12919,2026-08-20,NZM,NDLS,131,48.0,36.0,135,27.0,35.0,3
12919,2026-08-20,NDLS,SNP,135,53.0,48.0,146,55.0,49.0,3
12919,2026-08-20,SNP,PNP,146,52.0,53.0,152,30.0,112.0,3
12919,2026-08-20,PNP,KUN,152,115.0,52.0,157,24.0,115.0,3
12919,2026-08-20,KUN,KKDE,157,118.0,115.0,162,26.0,117.0,3
12919,2026-08-20,KKDE,UMB,162,132.0,118.0,168,60.0,146.0,3
12919,2026-08-20,UMB,SIR,168,154.0,132.0,174,38.0,160.0,3
12919,2026-08-20,SIR,KNN,174,164.0,154.0,176,17.0,160.0,3
12919,2026-08-20,KNN,LDH,176,163.0,164.0,183,75.0,122.0,3
12919,2026-08-20,LDH,JRC,183,133.0,163.0,190,53.0,134.0,3
12919,2026-08-20,JRC,DZA,190,140.0,133.0,203,68.0,115.0,3
12919,2026-08-20,DZA,MEX,203,118.0,140.0,206,17.0,115.0,3
12919,2026-08-20,MEX,PTKC,206,120.0,118.0,213,29.0,124.0,3
12919,2026-08-20,PTKC,MSKT,213,128.0,120.0,217,41.0,117.0,3
12919,2026-08-20,MSKT,JAT,217,121.0,128.0,227,82.0,100.0,3
12919,2026-08-20,JAT,RMJK,227,112.0,121.0,231,49.0,124.0,3
12919,2026-08-20,CRWL,SVDK,233,144.0,144.0,234,32.0,130.0,3
12919,2026-08-21,INDB,DWX,7,10.0,6.0,13,46.0,6.0,4
12919,2026-08-21,DWX,UJN,13,10.0,10.0,19,54.0,25.0,4
12919,2026-08-21,MKC,BCH,24,15.0,15.0,26,16.0,13.0,4
12919,2026-08-21,BCH,AKD,26,17.0,15.0,30,28.0,8.0,4
12919,2026-08-21,AKD,SJP,30,13.0,17.0,32,13.0,10.0,4
12919,2026-08-21,SJP,KPP,32,13.0,13.0,34,15.0,7.0,4
12919,2026-08-21,KPP,SEH,34,11.0,13.0,38,23.0,11.0,4
12919,2026-08-21,SEH,SHRN,38,14.0,11.0,42,43.0,-3.0,4
12919,2026-08-21,SHRN,BPL,42,3.0,14.0,43,27.0,12.0,4
12919,2026-08-21,NSZ,BHS,44,31.0,31.0,50,23.0,53.0,4
12919,2026-08-21,BHS,BAQ,50,57.0,31.0,55,26.0,56.0,4
12919,2026-08-21,BAQ,BINA,55,60.0,57.0,61,59.0,38.0,4
12919,2026-08-21,BINA,LAR,61,44.0,60.0,68,44.0,47.0,4
12919,2026-08-21,LAR,BAB,68,53.0,44.0,77,40.0,50.0,4
12919,2026-08-21,BAB,VGLJ,77,54.0,53.0,80,36.0,40.0,4
12919,2026-08-21,VGLJ,DAA,80,46.0,54.0,82,29.0,39.0,4
12919,2026-08-21,DAA,DBA,82,45.0,46.0,85,23.0,43.0,4
12919,2026-08-21,DBA,GWL,85,48.0,45.0,91,32.0,51.0,4
12919,2026-08-21,GWL,MRA,91,60.0,48.0,97,31.0,53.0,4
12919,2026-08-21,MRA,DHO,97,55.0,60.0,101,43.0,35.0,4
12919,2026-08-21,DHO,AGC,101,39.0,55.0,105,32.0,43.0,4
12919,2026-08-21,AGC,MTJ,105,50.0,39.0,113,43.0,45.0,4
12919,2026-08-21,MTJ,KSV,113,50.0,50.0,118,29.0,54.0,4
12919,2026-08-21,KSV,PWL,118,60.0,50.0,123,66.0,18.0,4
12919,2026-08-21,PWL,BVH,123,22.0,60.0,125,18.0,25.0,4
12919,2026-08-21,BVH,FDB,125,32.0,22.0,127,11.0,30.0,4
12919,2026-08-21,FDB,NZM,127,33.0,32.0,131,21.0,37.0,4
12919,2026-08-21,NZM,NDLS,131,43.0,33.0,135,27.0,31.0,4
12919,2026-08-21,NDLS,SNP,135,43.0,43.0,146,55.0,42.0,4
12919,2026-08-21,SNP,PNP,146,46.0,43.0,152,30.0,51.0,4
12919,2026-08-21,PNP,KUN,152,54.0,46.0,157,24.0,52.0,4
12919,2026-08-21,KUN,KKDE,157,54.0,54.0,162,26.0,48.0,4
12919,2026-08-21,KKDE,UMB,162,81.0,54.0,168,60.0,93.0,4
12919,2026-08-21,UMB,SIR,168,107.0,81.0,174,38.0,107.0,4
12919,2026-08-21,SIR,KNN,174,111.0,107.0,176,17.0,106.0,4
12919,2026-08-21,KNN,LDH,176,110.0,111.0,183,75.0,63.0,4
12919,2026-08-21,LDH,JRC,183,87.0,110.0,190,53.0,83.0,4
12919,2026-08-21,JRC,DZA,190,89.0,87.0,203,68.0,62.0,4
12919,2026-08-21,DZA,MEX,203,66.0,89.0,206,17.0,63.0,4
12919,2026-08-21,MEX,PTKC,206,68.0,66.0,213,29.0,73.0,4
12919,2026-08-21,PTKC,MSKT,213,75.0,68.0,217,41.0,70.0,4
12919,2026-08-21,MSKT,JAT,217,75.0,75.0,227,82.0,62.0,4
12919,2026-08-21,JAT,RMJK,227,69.0,75.0,231,49.0,90.0,4
12919,2026-08-21,CRWL,SVDK,233,117.0,117.0,234,32.0,102.0,4
12919,2026-08-22,INDB,DWX,7,19.0,5.0,13,46.0,15.0,5
12919,2026-08-22,DWX,UJN,13,17.0,19.0,19,54.0,0.0,5
12919,2026-08-22,MKC,BCH,24,27.0,27.0,26,16.0,25.0,5
12919,2026-08-22,BCH,AKD,26,27.0,27.0,30,28.0,19.0,5
12919,2026-08-22,AKD,SJP,30,23.0,27.0,32,13.0,20.0,5
12919,2026-08-22,SJP,KPP,32,24.0,23.0,34,15.0,18.0,5
12919,2026-08-22,KPP,SEH,34,23.0,24.0,38,23.0,21.0,5
12919,2026-08-22,SEH,SHRN,38,27.0,23.0,42,43.0,7.0,5
12919,2026-08-22,SHRN,BPL,42,11.0,27.0,43,27.0,71.0,5
12919,2026-08-22,NSZ,BHS,44,145.0,145.0,50,23.0,169.0,5
12919,2026-08-22,BHS,BAQ,50,172.0,145.0,55,26.0,175.0,5
12919,2026-08-22,BAQ,BINA,55,178.0,172.0,61,59.0,171.0,5
12919,2026-08-22,BINA,LAR,61,176.0,178.0,68,44.0,197.0,5
12919,2026-08-22,LAR,BAB,68,200.0,176.0,77,40.0,196.0,5
12919,2026-08-22,BAB,VGLJ,77,200.0,200.0,80,36.0,189.0,5
12919,2026-08-22,VGLJ,DAA,80,194.0,200.0,82,29.0,190.0,5
12919,2026-08-22,DAA,DBA,82,204.0,194.0,85,23.0,205.0,5
12919,2026-08-22,DBA,GWL,85,209.0,204.0,91,32.0,231.0,5
12919,2026-08-22,GWL,MRA,91,235.0,209.0,97,31.0,228.0,5
12919,2026-08-22,MRA,DHO,97,238.0,235.0,101,43.0,221.0,5
12919,2026-08-22,DHO,AGC,101,226.0,238.0,105,32.0,231.0,5
12919,2026-08-22,AGC,MTJ,105,238.0,226.0,113,43.0,231.0,5
12919,2026-08-22,MTJ,KSV,113,235.0,238.0,118,29.0,242.0,5
12919,2026-08-22,KSV,PWL,118,248.0,235.0,123,66.0,207.0,5
12919,2026-08-22,PWL,BVH,123,210.0,248.0,125,18.0,208.0,5
12919,2026-08-22,BVH,FDB,125,215.0,210.0,127,11.0,217.0,5
12919,2026-08-22,FDB,NZM,127,220.0,215.0,131,21.0,218.0,5
12919,2026-08-22,NZM,NDLS,131,225.0,220.0,135,27.0,211.0,5
12919,2026-08-22,NDLS,SNP,135,216.0,225.0,146,55.0,231.0,5
12919,2026-08-22,SNP,PNP,146,235.0,216.0,152,30.0,267.0,5
12919,2026-08-22,PNP,KUN,152,271.0,235.0,157,24.0,268.0,5
12919,2026-08-22,KUN,KKDE,157,269.0,271.0,162,26.0,263.0,5
12919,2026-08-22,KKDE,UMB,162,267.0,269.0,168,60.0,265.0,5
12919,2026-08-22,UMB,SIR,168,268.0,267.0,174,38.0,273.0,5
12919,2026-08-22,SIR,KNN,174,277.0,268.0,176,17.0,273.0,5
12919,2026-08-22,KNN,LDH,176,273.0,277.0,183,75.0,234.0,5
12919,2026-08-22,LDH,JRC,183,238.0,273.0,190,53.0,235.0,5
12919,2026-08-22,JRC,DZA,190,241.0,238.0,203,68.0,216.0,5
12919,2026-08-22,DZA,MEX,203,219.0,241.0,206,17.0,216.0,5
12919,2026-08-22,MEX,PTKC,206,221.0,219.0,213,29.0,224.0,5
12919,2026-08-22,PTKC,MSKT,213,229.0,221.0,217,41.0,217.0,5
12919,2026-08-22,MSKT,JAT,217,222.0,229.0,227,82.0,275.0,5
12919,2026-08-22,JAT,RMJK,227,289.0,222.0,231,49.0,289.0,5
12919,2026-08-22,CRWL,SVDK,233,293.0,293.0,234,32.0,301.0,5
12919,2026-08-23,INDB,DWX,7,10.0,6.0,13,46.0,14.0,6
12919,2026-08-23,DWX,UJN,13,18.0,10.0,19,54.0,27.0,6
12919,2026-08-23,MKC,BCH,24,20.0,20.0,26,16.0,18.0,6
12919,2026-08-23,BCH,AKD,26,20.0,20.0,30,28.0,13.0,6
12919,2026-08-23,AKD,SJP,30,16.0,20.0,32,13.0,13.0,6
12919,2026-08-23,SJP,KPP,32,16.0,16.0,34,15.0,12.0,6
12919,2026-08-23,KPP,SEH,34,16.0,16.0,38,23.0,15.0,6
12919,2026-08-23,SEH,SHRN,38,23.0,16.0,42,43.0,8.0,6
12919,2026-08-23,SHRN,BPL,42,13.0,23.0,43,27.0,18.0,6
12919,2026-08-23,NSZ,BHS,44,41.0,41.0,50,23.0,56.0,6
12919,2026-08-23,BHS,BAQ,50,60.0,41.0,55,26.0,60.0,6
12919,2026-08-23,BAQ,BINA,55,70.0,60.0,61,59.0,51.0,6
12919,2026-08-23,BINA,LAR,61,56.0,70.0,68,44.0,59.0,6
12919,2026-08-23,LAR,BAB,68,61.0,56.0,77,40.0,59.0,6
12919,2026-08-23,BAB,VGLJ,77,63.0,61.0,80,36.0,62.0,6
12919,2026-08-23,VGLJ,DAA,80,70.0,63.0,82,29.0,64.0,6
12919,2026-08-23,DAA,DBA,82,71.0,70.0,85,23.0,69.0,6
12919,2026-08-23,DBA,GWL,85,78.0,71.0,91,32.0,112.0,6
12919,2026-08-23,GWL,MRA,91,125.0,78.0,97,31.0,128.0,6
12919,2026-08-23,MRA,DHO,97,132.0,125.0,101,43.0,113.0,6
12919,2026-08-23,DHO,AGC,101,113.0,132.0,105,32.0,124.0,6
12919,2026-08-23,AGC,MTJ,105,133.0,113.0,113,43.0,129.0,6
12919,2026-08-23,MTJ,KSV,113,137.0,133.0,118,29.0,144.0,6
12919,2026-08-23,KSV,PWL,118,148.0,137.0,123,66.0,109.0,6
12919,2026-08-23,PWL,BVH,123,115.0,148.0,125,18.0,117.0,6
12919,2026-08-23,BVH,FDB,125,121.0,115.0,127,11.0,142.0,6
12919,2026-08-23,FDB,NZM,127,146.0,121.0,131,21.0,176.0,6
12919,2026-08-23,NZM,NDLS,131,183.0,146.0,135,27.0,184.0,6
12919,2026-08-23,NDLS,SNP,135,196.0,183.0,146,55.0,206.0,6
12919,2026-08-23,SNP,PNP,146,209.0,196.0,152,30.0,215.0,6
12919,2026-08-23,PNP,KUN,152,218.0,209.0,157,24.0,217.0,6
12919,2026-08-23,KUN,KKDE,157,216.0,218.0,162,26.0,211.0,6
12919,2026-08-23,KKDE,UMB,162,215.0,216.0,168,60.0,195.0,6
12919,2026-08-23,UMB,SIR,168,213.0,215.0,174,38.0,222.0,6
12919,2026-08-23,SIR,KNN,174,226.0,213.0,176,17.0,222.0,6
12919,2026-08-23,KNN,LDH,176,223.0,226.0,183,75.0,183.0,6
12919,2026-08-23,LDH,JRC,183,202.0,223.0,190,53.0,203.0,6
12919,2026-08-23,JRC,DZA,190,208.0,202.0,203,68.0,181.0,6
12919,2026-08-23,DZA,MEX,203,185.0,208.0,206,17.0,181.0,6
12919,2026-08-23,MEX,PTKC,206,187.0,185.0,213,29.0,188.0,6
12919,2026-08-23,PTKC,MSKT,213,193.0,187.0,217,41.0,180.0,6
12919,2026-08-23,MSKT,JAT,217,186.0,193.0,227,82.0,170.0,6
12919,2026-08-23,JAT,RMJK,227,178.0,186.0,231,49.0,219.0,6
12919,2026-08-23,CRWL,SVDK,233,254.0,254.0,234,32.0,247.0,6
12919,2026-08-24,INDB,DWX,7,9.0,4.0,13,46.0,3.0,0
12919,2026-08-24,DWX,UJN,13,8.0,9.0,19,54.0,-12.0,0
12919,2026-08-24,MKC,BCH,24,9.0,9.0,26,16.0,6.0,0
12919,2026-08-24,BCH,AKD,26,7.0,9.0,30,28.0,1.0,0
12919,2026-08-24,AKD,SJP,30,5.0,7.0,32,13.0,2.0,0
12919,2026-08-24,SJP,KPP,32,5.0,5.0,34,15.0,0.0,0
12919,2026-08-24,KPP,SEH,34,5.0,5.0,38,23.0,6.0,0
12919,2026-08-24,SEH,SHRN,38,17.0,5.0,42,43.0,-3.0,0
12919,2026-08-24,SHRN,BPL,42,3.0,17.0,43,27.0,11.0,0
12919,2026-08-24,NSZ,BHS,44,33.0,33.0,50,23.0,58.0,0
12919,2026-08-24,BHS,BAQ,50,69.0,33.0,55,26.0,136.0,0
12919,2026-08-24,BAQ,BINA,55,141.0,69.0,61,59.0,114.0,0
12919,2026-08-24,BINA,LAR,61,124.0,141.0,68,44.0,136.0,0
12919,2026-08-24,LAR,BAB,68,143.0,124.0,77,40.0,137.0,0
12919,2026-08-24,BAB,VGLJ,77,142.0,143.0,80,36.0,129.0,0
12919,2026-08-24,VGLJ,DAA,80,140.0,142.0,82,29.0,138.0,0
12919,2026-08-24,DAA,DBA,82,145.0,140.0,85,23.0,141.0,0
12919,2026-08-24,DBA,GWL,85,144.0,145.0,91,32.0,197.0,0
12919,2026-08-24,GWL,MRA,91,202.0,144.0,97,31.0,195.0,0
12919,2026-08-24,MRA,DHO,97,199.0,202.0,101,43.0,179.0,0
12919,2026-08-24,DHO,AGC,101,183.0,199.0,105,32.0,190.0,0
12919,2026-08-24,AGC,MTJ,105,196.0,183.0,113,43.0,190.0,0
12919,2026-08-24,MTJ,KSV,113,198.0,196.0,118,29.0,203.0,0
12919,2026-08-24,KSV,PWL,118,206.0,198.0,123,66.0,169.0,0
12919,2026-08-24,PWL,BVH,123,172.0,206.0,125,18.0,171.0,0
12919,2026-08-24,BVH,FDB,125,175.0,172.0,127,11.0,193.0,0
12919,2026-08-24,FDB,NZM,127,198.0,175.0,131,21.0,199.0,0
12919,2026-08-24,NZM,NDLS,131,206.0,198.0,135,27.0,197.0,0
12919,2026-08-24,NDLS,SNP,135,206.0,206.0,146,55.0,221.0,0
12919,2026-08-24,SNP,PNP,146,224.0,206.0,152,30.0,229.0,0
12919,2026-08-24,PNP,KUN,152,235.0,224.0,157,24.0,231.0,0
12919,2026-08-24,KUN,KKDE,157,233.0,235.0,162,26.0,228.0,0
12919,2026-08-24,KKDE,UMB,162,232.0,233.0,168,60.0,202.0,0
12919,2026-08-24,UMB,SIR,168,208.0,232.0,174,38.0,210.0,0
12919,2026-08-24,SIR,KNN,174,215.0,208.0,176,17.0,210.0,0
12919,2026-08-24,KNN,LDH,176,213.0,215.0,183,75.0,175.0,0
12919,2026-08-24,LDH,JRC,183,183.0,213.0,190,53.0,184.0,0
12919,2026-08-24,JRC,DZA,190,190.0,183.0,203,68.0,179.0,0
12919,2026-08-24,DZA,MEX,203,183.0,190.0,206,17.0,182.0,0
12919,2026-08-24,MEX,PTKC,206,190.0,183.0,213,29.0,191.0,0
12919,2026-08-24,PTKC,MSKT,213,195.0,190.0,217,41.0,183.0,0
12919,2026-08-24,MSKT,JAT,217,191.0,195.0,227,82.0,172.0,0
12919,2026-08-24,JAT,RMJK,227,183.0,191.0,231,49.0,215.0,0
12919,2026-08-24,CRWL,SVDK,233,256.0,256.0,234,32.0,251.0,0
12919,2026-08-25,INDB,DWX,7,9.0,4.0,13,46.0,1.0,1
12919,2026-08-25,DWX,UJN,13,6.0,9.0,19,54.0,-15.0,1
12919,2026-08-25,MKC,BCH,24,3.0,3.0,26,16.0,2.0,1
12919,2026-08-25,BCH,AKD,26,3.0,3.0,30,28.0,-3.0,1
12919,2026-08-25,AKD,SJP,30,1.0,3.0,32,13.0,1.0,1
12919,2026-08-25,SJP,KPP,32,4.0,1.0,34,15.0,-2.0,1
12919,2026-08-25,KPP,SEH,34,2.0,4.0,38,23.0,3.0,1
12919,2026-08-25,SEH,SHRN,38,17.0,2.0,42,43.0,16.0,1
12919,2026-08-25,SHRN,BPL,42,23.0,17.0,43,27.0,25.0,1
12919,2026-08-25,NSZ,BHS,44,49.0,49.0,50,23.0,66.0,1
12919,2026-08-25,BHS,BAQ,50,71.0,49.0,55,26.0,70.0,1
12919,2026-08-25,BAQ,BINA,55,74.0,71.0,61,59.0,57.0,1
12919,2026-08-25,LAR,BAB,68,91.0,75.0,77,40.0,94.0,1
12919,2026-08-25,BAB,VGLJ,77,98.0,91.0,80,36.0,83.0,1
12919,2026-08-25,VGLJ,DAA,80,89.0,98.0,82,29.0,89.0,1
12919,2026-08-25,DAA,DBA,82,95.0,89.0,85,23.0,92.0,1
12919,2026-08-25,DBA,GWL,85,96.0,95.0,91,32.0,93.0,1
12919,2026-08-25,GWL,MRA,91,99.0,96.0,97,31.0,92.0,1
12919,2026-08-25,MRA,DHO,97,95.0,99.0,101,43.0,75.0,1
12919,2026-08-25,DHO,AGC,101,78.0,95.0,105,32.0,84.0,1
12919,2026-08-25,AGC,MTJ,105,92.0,78.0,113,43.0,85.0,1
12919,2026-08-25,MTJ,KSV,113,90.0,92.0,118,29.0,93.0,1
12919,2026-08-25,KSV,PWL,118,100.0,90.0,123,66.0,58.0,1
12919,2026-08-25,PWL,BVH,123,62.0,100.0,125,18.0,59.0,1
12919,2026-08-25,BVH,FDB,125,61.0,62.0,127,11.0,70.0,1
12919,2026-08-25,FDB,NZM,127,74.0,61.0,131,21.0,114.0,1
12919,2026-08-25,NZM,NDLS,131,121.0,74.0,135,27.0,113.0,1
12919,2026-08-25,NDLS,SNP,135,121.0,121.0,146,55.0,149.0,1
12919,2026-08-25,SNP,PNP,146,153.0,121.0,152,30.0,195.0,1
12919,2026-08-25,PNP,KUN,152,199.0,153.0,157,24.0,201.0,1
12919,2026-08-25,KUN,KKDE,157,211.0,199.0,162,26.0,227.0,1
12919,2026-08-25,KKDE,UMB,162,233.0,211.0,168,60.0,212.0,1
12919,2026-08-25,UMB,SIR,168,216.0,233.0,174,38.0,218.0,1
12919,2026-08-25,SIR,KNN,174,222.0,216.0,176,17.0,217.0,1
12919,2026-08-25,KNN,LDH,176,218.0,222.0,183,75.0,182.0,1
12919,2026-08-25,LDH,JRC,183,187.0,218.0,190,53.0,186.0,1
12919,2026-08-25,JRC,DZA,190,192.0,187.0,203,68.0,182.0,1
12919,2026-08-25,DZA,MEX,203,186.0,192.0,206,17.0,183.0,1
12919,2026-08-25,MEX,PTKC,206,187.0,186.0,213,29.0,189.0,1
12919,2026-08-25,PTKC,MSKT,213,192.0,187.0,217,41.0,181.0,1
12919,2026-08-25,MSKT,JAT,217,185.0,192.0,227,82.0,237.0,1
12919,2026-08-25,JAT,RMJK,227,267.0,185.0,231,49.0,273.0,1
12919,2026-08-25,CRWL,SVDK,233,286.0,286.0,234,32.0,280.0,1
12919,2026-08-26,INDB,DWX,7,11.0,6.0,13,46.0,4.0,2
12919,2026-08-26,DWX,UJN,13,9.0,11.0,19,54.0,-10.0,2
12919,2026-08-26,MKC,BCH,24,9.0,9.0,26,16.0,9.0,2
12919,2026-08-26,BCH,AKD,26,9.0,9.0,30,28.0,3.0,2
12919,2026-08-26,AKD,SJP,30,7.0,9.0,32,13.0,4.0,2
12919,2026-08-26,SJP,KPP,32,8.0,7.0,34,15.0,2.0,2
12919,2026-08-26,KPP,SEH,34,8.0,8.0,38,23.0,10.0,2
12919,2026-08-26,SEH,SHRN,38,23.0,8.0,42,43.0,17.0,2
12919,2026-08-26,SHRN,BPL,42,23.0,23.0,43,27.0,37.0,2
12919,2026-08-26,NSZ,BHS,44,139.0,139.0,50,23.0,156.0,2
12919,2026-08-26,BHS,BAQ,50,160.0,139.0,55,26.0,170.0,2
12919,2026-08-26,BAQ,BINA,55,173.0,160.0,61,59.0,176.0,2
12919,2026-08-26,BINA,LAR,61,193.0,173.0,68,44.0,203.0,2
12919,2026-08-26,LAR,BAB,68,206.0,193.0,77,40.0,202.0,2
12919,2026-08-26,BAB,VGLJ,77,207.0,206.0,80,36.0,228.0,2
12919,2026-08-26,VGLJ,DAA,80,235.0,207.0,82,29.0,236.0,2
12919,2026-08-26,DAA,DBA,82,240.0,235.0,85,23.0,234.0,2
12919,2026-08-26,DBA,GWL,85,241.0,240.0,91,32.0,237.0,2
12919,2026-08-26,GWL,MRA,91,246.0,241.0,97,31.0,238.0,2
12919,2026-08-26,MRA,DHO,97,242.0,246.0,101,43.0,221.0,2
12919,2026-08-26,DHO,AGC,101,226.0,242.0,105,32.0,233.0,2
12919,2026-08-26,AGC,MTJ,105,241.0,226.0,113,43.0,235.0,2
12919,2026-08-26,MTJ,KSV,113,242.0,241.0,118,29.0,244.0,2
12919,2026-08-26,KSV,PWL,118,253.0,242.0,123,66.0,212.0,2
12919,2026-08-26,PWL,BVH,123,216.0,253.0,125,18.0,214.0,2
12919,2026-08-26,BVH,FDB,125,219.0,216.0,127,11.0,220.0,2
12919,2026-08-26,FDB,NZM,127,224.0,219.0,131,21.0,240.0,2
12919,2026-08-26,NZM,NDLS,131,246.0,224.0,135,27.0,247.0,2
12919,2026-08-26,NDLS,SNP,135,250.0,246.0,146,55.0,259.0,2
12919,2026-08-26,SNP,PNP,146,262.0,250.0,152,30.0,272.0,2
12919,2026-08-26,PNP,KUN,152,276.0,262.0,157,24.0,277.0,2
12919,2026-08-26,KUN,KKDE,157,280.0,276.0,162,26.0,274.0,2
12919,2026-08-26,KKDE,UMB,162,278.0,280.0,168,60.0,250.0,2
12919,2026-08-26,SIR,KNN,174,266.0,266.0,176,17.0,263.0,2
12919,2026-08-26,KNN,LDH,176,264.0,266.0,183,75.0,223.0,2
12919,2026-08-26,LDH,JRC,183,229.0,264.0,190,53.0,228.0,2
12919,2026-08-26,JRC,DZA,190,235.0,229.0,203,68.0,209.0,2
12919,2026-08-26,DZA,MEX,203,213.0,235.0,206,17.0,210.0,2
12919,2026-08-26,MEX,PTKC,206,214.0,213.0,213,29.0,220.0,2
12919,2026-08-26,PTKC,MSKT,213,222.0,214.0,217,41.0,211.0,2
12919,2026-08-26,MSKT,JAT,217,218.0,222.0,227,82.0,287.0,2
12919,2026-08-26,JAT,RMJK,227,288.0,218.0,231,49.0,302.0,2
12919,2026-08-26,CRWL,SVDK,233,319.0,319.0,234,32.0,306.0,2
12919,2026-08-27,INDB,DWX,7,12.0,5.0,13,46.0,6.0,3
12919,2026-08-27,DWX,UJN,13,10.0,12.0,19,54.0,7.0,3
12919,2026-08-27,MKC,BCH,24,11.0,11.0,26,16.0,8.0,3
12919,2026-08-27,BCH,AKD,26,11.0,11.0,30,28.0,5.0,3
12919,2026-08-27,AKD,SJP,30,8.0,11.0,32,13.0,8.0,3
12919,2026-08-27,SJP,KPP,32,13.0,8.0,34,15.0,8.0,3
12919,2026-08-27,KPP,SEH,34,14.0,13.0,38,23.0,11.0,3
12919,2026-08-27,SEH,SHRN,38,19.0,14.0,42,43.0,0.0,3
12919,2026-08-27,SHRN,BPL,42,14.0,19.0,43,27.0,81.0,3
12919,2026-08-27,NSZ,BHS,44,163.0,163.0,50,23.0,199.0,3
12919,2026-08-27,BHS,BAQ,50,204.0,163.0,55,26.0,209.0,3
12919,2026-08-27,BAQ,BINA,55,214.0,204.0,61,59.0,196.0,3
12919,2026-08-27,BINA,LAR,61,201.0,214.0,68,44.0,211.0,3
12919,2026-08-27,LAR,BAB,68,217.0,201.0,77,40.0,217.0,3
